trajectory_id,group,image,lang_original,normal_action,paraphrased_action,contradictory_action,neutral_action,l2_normal_paraphrased_6d,l2_normal_contradictory_6d,l2_normal_neutral_6d,cos_normal_paraphrased_6d,cos_normal_contradictory_6d,cos_normal_neutral_6d
1,initial,traj001_initial.jpg,put the pot on the towel,"[-0.0017745069926604629, -0.00042412252514623106, -0.005177923943847418, -0.008440605364739895, 0.01998520828783512, 0.0031568848062306643, 0.9960784316062927]","[-0.0017745069926604629, -0.0013954020105302334, -0.00595739996060729, -0.01227217074483633, 0.021324938163161278, 0.0031568848062306643, 0.9960784316062927]","[-0.0017745069926604629, -0.0020429217256605625, -0.007516351528465748, -0.01227217074483633, 0.0253441259264946, 0.0015450867358595133, 0.9960784316062927]","[-0.0019981812220066786, -0.0007478823536075652, -0.006736875511705875, -0.009079200215637684, 0.02467426098883152, 0.0015450867358595133, 0.9960784316062927]",0.004245790187269449,0.007354286964982748,0.005251484457403421,0.9922584295272827,0.9931711554527283,0.9953088760375977
2,initial,traj002_initial.jpg,fold the cloth from top right to bottom left,"[-0.0015508327633142471, 0.0005471569602377713, -0.007776177022606134, -0.01674233004450798, 0.018645478412508965, 0.004768683109432459, 0.9960784316062927]","[-0.0015508327633142471, 0.0005471569602377713, -0.007776177022606134, -0.01674233004450798, 0.018645478412508965, 0.004768683109432459, 0.9960784316062927]","[-0.0015508327633142471, 0.0005471569602377713, -0.007776177022606134, -0.01674233004450798, 0.018645478412508965, 0.004768683109432459, 0.9960784316062927]","[-0.0015508327633142471, 0.0005471569602377713, -0.007776177022606134, -0.01674233004450798, 0.018645478412508965, 0.004768683109432459, 0.9960784316062927]",0.0,0.0,0.0,1.0,1.0,1.0
3,initial,traj003_initial.jpg,move the white and yellow vegetable to the left of the silver pot,"[-0.0013271585339680314, -0.01531707402318716, -0.00024124380433931947, -0.014187953434884548, 0.00993723701685667, -0.009737499989569187, 0.9960784316062927]","[-0.0013271585339680314, -0.025677388533949852, 0.001577533083036542, -0.01738092489540577, -0.009488838724792004, -0.11128077656030655, 0.9960784316062927]","[0.005383068695664406, -0.01920219138264656, 0.005734737496823072, 0.00944003276526928, -0.01752721518278122, -0.05164425075054169, 0.9960784316062927]","[0.0033700005151331425, -0.0017191617516800761, -0.010114604607224464, -0.02504405565559864, 0.03740169107913971, -0.032302673906087875, 0.9960784316062927]",0.10396753996610641,0.05625466629862785,0.04105835035443306,0.5598108172416687,0.32344287633895874,0.7515199780464172
4,initial,traj004_initial.jpg,put the cup from the counter into the sink,"[0.004041023086756468, 0.007022353354841471, -0.00595739996060729, 0.005608467385172844, 0.013286560773849487, 0.009604076854884624, 0.9960784316062927]","[0.004041023086756468, 0.010907471179962158, -0.001800195430405438, 0.05094865709543228, -0.004129921551793814, -6.67113417875953e-05, 0.9960784316062927]","[0.004041023086756468, 0.004756034817546606, -0.0023198460694402456, -0.006524823140352964, -0.0014504624996334314, 0.022498462349176407, 0.9960784316062927]","[-0.000879810017067939, -0.007870598696172237, -0.0036189723759889603, -0.01738092489540577, 0.0206550732254982, -0.03069087490439415, 0.9960784316062927]",0.04984944313764572,0.023431384935975075,0.049577951431274414,0.3177243769168854,0.45781221985816956,-0.18521496653556824
5,initial,traj005_initial.jpg,twist the knob clockwise by 90 degrees from vertical,"[-0.0017745069926604629, -0.0020429217256605625, -0.007776177022606134, -0.006524823140352964, 0.0159660205245018, 0.0015450867358595133, 0.9960784316062927]","[-0.0017745069926604629, -0.0020429217256605625, -0.007776177022606134, -0.006524823140352964, 0.0159660205245018, 0.0015450867358595133, 0.9960784316062927]","[-0.002221855567768216, -0.0062517994083464146, 0.008332990109920502, -0.03142999857664108, -0.01752721518278122, 0.024110259488224983, 0.9960784316062927]","[0.009185531176626682, 0.0096124317497015, -0.0049180989153683186, -0.00013888080138713121, -0.011498433537781239, -0.01457289420068264, 0.9960784316062927]",0.0,0.05028589814901352,0.0363180935382843,0.9999999403953552,-0.10007438063621521,-0.4530087411403656
6,initial,traj006_initial.jpg,move the orange cloth to the lower right of the burner,"[-0.0011034843046218157, -0.018878431990742683, 0.004955261945724487, -0.002693257760256529, -0.019536809995770454, 0.012827672995626926, 0.9960784316062927]","[-0.002221855567768216, -0.0010716421529650688, -0.011413730680942535, -0.005886228755116463, 0.031372908502817154, 0.0031568848062306643, 0.9960784316062927]","[-0.003340226598083973, -0.0007478823536075652, -0.011413730680942535, -0.005247634835541248, 0.031372908502817154, 0.0031568848062306643, 0.9960784316062927]","[-0.0013271585339680314, -0.004309240262955427, 0.017167050391435623, -0.014826548285782337, -0.04566153138875961, -0.009737499989569187, 0.9960784316062927]",0.057286955416202545,0.05738913267850876,0.04123522713780403,-0.5654850006103516,-0.5721669793128967,0.6117619872093201
7,initial,traj007_initial.jpg,move the eggplant to the right side of the bell pepper,"[-0.00244552968069911, 0.0011946766171604395, -0.011153905652463436, 0.0036926844622939825, 0.03807155415415764, 0.0031568848062306643, 0.9960784316062927]","[-0.00244552968069911, 0.0011946766171604395, -0.011153905652463436, 0.0036926844622939825, 0.03673182427883148, 0.00638048117980361, 0.9960784316062927]","[-0.00244552968069911, 0.00022339713177643716, -0.007256526034325361, 0.0030540903098881245, 0.026013990864157677, -0.0016785094048827887, 0.9960784316062927]","[-0.00244552968069911, 0.0005471569602377713, -0.009335128590464592, 0.0017769018886610866, 0.02936331368982792, 0.0015450867358595133, 0.9960784316062927]",0.003490909468382597,0.013612737879157066,0.009264383465051651,0.99636310338974,0.9892594814300537,0.9984772205352783
8,initial,traj008_initial.jpg,move the red fork to the left side of the table,"[-0.004458597861230373, -0.00042412252514623106, -0.012193206697702408, 0.0030540903098881245, 0.04008115082979202, -0.0016785094048827887, 0.9960784316062927]","[-0.004458597861230373, -0.00042412252514623106, -0.012193206697702408, 0.0030540903098881245, 0.04008115082979202, -0.0016785094048827887, 0.9960784316062927]","[-0.004458597861230373, -0.00042412252514623106, -0.012193206697702408, -0.002693257760256529, 0.03673182427883148, 0.0015450867358595133, 0.9960784316062927]","[-0.005576969124376774, -0.00010036268940893933, -0.010894079692661762, 0.0004997134092263877, 0.03807155415415764, -0.004902105778455734, 0.9960784316062927]",0.0,0.007391993887722492,0.004898795858025551,1.0000001192092896,0.9865506887435913,0.9941120743751526
9,initial,traj009_initial.jpg,fold the cloth from right to left,"[-0.004234923515468836, -0.0013954020105302334, -0.02050761505961418, 0.02668207697570324, 0.03807155415415764, -0.006513903848826885, 0.9960784316062927]","[-0.004234923515468836, -0.0020429217256605625, -0.02050761505961418, 0.02668207697570324, 0.03807155415415764, -0.006513903848826885, 0.9960784316062927]","[-0.025931324809789658, -0.039599061012268066, -0.004658273421227932, -0.01227217074483633, -0.01685735024511814, -0.14190493524074554, 0.9960784316062927]","[-0.018550075590610504, 0.0057273139245808125, -0.02102726511657238, 0.011994409374892712, 0.010607101954519749, -0.01940828748047352, 0.9960784316062927]",0.0006475197151303291,0.15826182067394257,0.03731240704655647,0.9999207854270935,0.027762657031416893,0.6899998784065247
10,initial,traj010_initial.jpg,move the knife inside the right orange pot,"[-0.0019981812220066786, -0.00010036268940893933, -0.005697574466466904, -0.005247634835541248, 0.021324938163161278, -0.011349298059940338, 0.9960784316062927]","[-0.0019981812220066786, -0.00010036268940893933, -0.005697574466466904, -0.005247634835541248, 0.021324938163161278, -0.011349298059940338, 0.9960784316062927]","[-0.0019981812220066786, -0.00010036268940893933, -0.005697574466466904, -0.005247634835541248, 0.021324938163161278, -0.011349298059940338, 0.9960784316062927]","[-0.0019981812220066786, -0.0007478823536075652, -0.005697574466466904, -0.005886228755116463, 0.0206550732254982, 0.00638048117980361, 0.9960784316062927]",0.0,0.0,0.017765721306204796,1.0,1.0,0.73709636926651
