trajectory_id,initial_image,final_image,lang_original,prompt_normal,prompt_paraphrased,prompt_contradictory,prompt_neutral
1,traj001_initial.jpg,traj001_final.jpg,put the pot on the towel,In: What action should the robot take to put the pot on the towel?,In: What should the robot do to place the pot on the towel?,In: What action should the robot take to avoid put the pot on the towel and move away from the target area?,In: What action should the robot take?
2,traj002_initial.jpg,traj002_final.jpg,fold the cloth from top right to bottom left,In: What action should the robot take to fold the cloth from top right to bottom left?,In: What should the robot do to fold the cloth from top right to bottom left?,In: What action should the robot take to avoid fold the cloth from top right to bottom left and move away from the target area?,In: What action should the robot take?
3,traj003_initial.jpg,traj003_final.jpg,move the white and yellow vegetable to the left of the silver pot,In: What action should the robot take to move the white and yellow vegetable to the left of the silver pot?,In: What should the robot do to shift the white and yellow vegetable to the left of the silver pot?,In: What action should the robot take to avoid move the white and yellow vegetable to the left of the silver pot and move away from the target area?,In: What action should the robot take?
4,traj004_initial.jpg,traj004_final.jpg,put the cup from the counter into the sink,In: What action should the robot take to put the cup from the counter into the sink?,In: What should the robot do to place the cup from the counter into the sink?,In: What action should the robot take to avoid put the cup from the counter into the sink and move away from the target area?,In: What action should the robot take?
5,traj005_initial.jpg,traj005_final.jpg,twist the knob clockwise by 90 degrees from vertical,In: What action should the robot take to twist the knob clockwise by 90 degrees from vertical?,In: What should the robot do to rotate the knob clockwise by 90 degrees from vertical?,In: What action should the robot take to avoid twist the knob clockwise by 90 degrees from vertical and move away from the target area?,In: What action should the robot take?
6,traj006_initial.jpg,traj006_final.jpg,move the orange cloth to the lower right of the burner,In: What action should the robot take to move the orange cloth to the lower right of the burner?,In: What should the robot do to shift the orange cloth to the lower right of the burner?,In: What action should the robot take to avoid move the orange cloth to the lower right of the burner and move away from the target area?,In: What action should the robot take?
7,traj007_initial.jpg,traj007_final.jpg,move the eggplant to the right side of the bell pepper,In: What action should the robot take to move the eggplant to the right side of the bell pepper?,In: What should the robot do to shift the eggplant to the right side of the bell pepper?,In: What action should the robot take to avoid move the eggplant to the right side of the bell pepper and move away from the target area?,In: What action should the robot take?
8,traj008_initial.jpg,traj008_final.jpg,move the red fork to the left side of the table,In: What action should the robot take to move the red fork to the left side of the table?,In: What should the robot do to shift the red fork to the left side of the table?,In: What action should the robot take to avoid move the red fork to the left side of the table and move away from the target area?,In: What action should the robot take?
9,traj009_initial.jpg,traj009_final.jpg,fold the cloth from right to left,In: What action should the robot take to fold the cloth from right to left?,In: What should the robot do to fold the cloth from right to left?,In: What action should the robot take to avoid fold the cloth from right to left and move away from the target area?,In: What action should the robot take?
10,traj010_initial.jpg,traj010_final.jpg,move the knife inside the right orange pot,In: What action should the robot take to move the knife inside the right orange pot?,In: What should the robot do to shift the knife inside the right orange pot?,In: What action should the robot take to avoid move the knife inside the right orange pot and move away from the target area?,In: What action should the robot take?
