trajectory_id,group,image,lang_original,normal_action,paraphrased_action,contradictory_action,neutral_action,l2_normal_paraphrased_6d,l2_normal_contradictory_6d,l2_normal_neutral_6d,cos_normal_paraphrased_6d,cos_normal_contradictory_6d,cos_normal_neutral_6d
1,final,traj001_final.jpg,put the pot on the towel,"[0.00046223538811318576, -0.00042412252514623106, -0.0005010690656490624, 0.08096258342266083, 0.00993723701685667, 0.004768683109432459, 0.9960784316062927]","[0.00046223538811318576, -0.00042412252514623106, -0.00024124380433931947, 0.020934728905558586, -0.002120327204465866, -0.008125701919198036, 0.9960784316062927]","[-0.002221855567768216, 0.0005471569602377713, -0.0005010690656490624, 0.004969872999936342, 0.015296155586838722, 0.01766306720674038, 0.9960784316062927]","[-0.0015508327633142471, 0.0005471569602377713, -0.011153905652463436, -0.003970446065068245, 0.03204277157783508, 0.0015450867358595133, 0.9960784316062927]",0.06257044523954391,0.07731767743825912,0.08849374949932098,0.8870140910148621,0.32507824897766113,0.003205470973625779
2,final,traj002_final.jpg,fold the cloth from top right to bottom left,"[1.4886919416312594e-05, -0.00010036268940893933, 1.8581469703349285e-05, -0.00013888080138713121, -0.00011073314090026543, -6.67113417875953e-05, 0.9960784316062927]","[1.4886919416312594e-05, -0.00010036268940893933, 1.8581469703349285e-05, -0.00013888080138713121, -0.00011073314090026543, -6.67113417875953e-05, 0.9960784316062927]","[1.4886919416312594e-05, -0.00010036268940893933, 1.8581469703349285e-05, -0.00013888080138713121, -0.00011073314090026543, -6.67113417875953e-05, 0.9960784316062927]","[1.4886919416312594e-05, -0.00010036268940893933, -0.0005010690656490624, -0.0014160692226141691, 0.0012289963196963072, -6.67113417875953e-05, 0.9960784316062927]",0.0,0.0,0.001922530122101307,1.0,1.0,0.15717695653438568
3,final,traj003_final.jpg,move the white and yellow vegetable to the left of the silver pot,"[1.4886919416312594e-05, -0.0010716421529650688, -0.00024124380433931947, 0.007524250075221062, 0.003908454906195402, -0.025855479761958122, 0.9960784316062927]","[1.4886919416312594e-05, -0.0010716421529650688, -0.00024124380433931947, 0.007524250075221062, 0.003908454906195402, -0.025855479761958122, 0.9960784316062927]","[1.4886919416312594e-05, -0.0010716421529650688, -0.00024124380433931947, 0.007524250075221062, 0.003908454906195402, -0.025855479761958122, 0.9960784316062927]","[-0.006024317815899849, -0.003337960923090577, 0.009372291155159473, 0.08160118013620377, 0.044100336730480194, 0.011215874925255775, 0.9960784316062927]",0.0,0.0,0.0927959680557251,0.9999999403953552,0.9999999403953552,0.19406698644161224
4,final,traj004_final.jpg,put the cup from the counter into the sink,"[-0.005129620432853699, 0.007022353354841471, -0.00024124380433931947, -0.030152808874845505, 0.0045783198438584805, 0.04828723147511482, 0.9960784316062927]","[0.0015806065639480948, 0.006051073782145977, 0.007033864036202431, 0.014548786915838718, -0.02489572763442993, 0.016051270067691803, 0.9960784316062927]","[-0.005129620432853699, -0.002690441207960248, -0.0010207196464762092, -0.0014160692226141691, 0.03405236825346947, 0.0031568848062306643, 0.9960784316062927]","[-0.003116552485153079, -0.0023666813503950834, 0.001317707821726799, -0.009079200215637684, -0.002120327204465866, 0.0031568848062306643, 0.9960784316062927]",0.06328512728214264,0.06185639649629593,0.05118939280509949,0.12866778671741486,0.17878440022468567,0.6738436818122864
5,final,traj005_final.jpg,twist the knob clockwise by 90 degrees from vertical,"[-0.0019981812220066786, -0.004633000120520592, -0.00024124380433931947, 0.05478022247552872, 0.003908454906195402, -0.12901055812835693, 0.0]","[-0.00244552968069911, -0.00010036268940893933, -0.0007608943851664662, -0.055057983845472336, 0.035392098128795624, -0.05164425075054169, 0.0]","[-0.0013271585339680314, -0.00010036268940893933, 0.0005382320377975702, -0.003331851912662387, -0.00011073314090026543, -0.029079075902700424, 0.0]","[-0.0011034843046218157, 0.006374833639711142, 0.04003167524933815, -0.0806017518043518, 0.05347844213247299, -0.016184691339731216, 0.0]",0.13806596398353577,0.11576298624277115,0.18777385354042053,0.3238799571990967,0.8686525225639343,-0.14475087821483612
6,final,traj006_final.jpg,move the orange cloth to the lower right of the burner,"[-0.0011034843046218157, -0.018878431990742683, 0.004955261945724487, -0.002693257760256529, -0.019536809995770454, 0.012827672995626926, 0.9960784316062927]","[-0.002221855567768216, -0.0010716421529650688, -0.011413730680942535, -0.005886228755116463, 0.031372908502817154, 0.0031568848062306643, 0.9960784316062927]","[-0.003340226598083973, -0.0007478823536075652, -0.011413730680942535, -0.005247634835541248, 0.031372908502817154, 0.0031568848062306643, 0.9960784316062927]","[-0.0013271585339680314, -0.004309240262955427, 0.017167050391435623, -0.014826548285782337, -0.04566153138875961, -0.009737499989569187, 0.9960784316062927]",0.057286955416202545,0.05738913267850876,0.04123522713780403,-0.5654850006103516,-0.5721669793128967,0.6117619872093201
7,final,traj007_final.jpg,move the eggplant to the right side of the bell pepper,"[1.4886919416312594e-05, 0.003460995387285948, -0.0062172249890863895, 0.031790830194950104, 0.022664666175842285, 0.012827672995626926, 0.9960784316062927]","[1.4886919416312594e-05, 0.003460995387285948, -0.0007608943851664662, -0.01738092489540577, 0.007257778663188219, 0.004768683109432459, 0.9960784316062927]","[1.4886919416312594e-05, -0.0017191617516800761, -0.0007608943851664662, 0.0036926844622939825, -0.002120327204465866, -0.004902105778455734, 0.9960784316062927]","[-0.000879810017067939, -0.004956759978085756, -0.001800195430405438, -0.0333457812666893, 0.015296155586838722, -0.009737499989569187, 0.9960784316062927]",0.052439987659454346,0.042127810418605804,0.0699816346168518,-0.3765519857406616,0.01856853812932968,-0.5281050205230713
8,final,traj008_final.jpg,move the red fork to the left side of the table,"[0.00046223538811318576, -0.0020429217256605625, -0.00024124380433931947, -0.014187953434884548, -0.00011073314090026543, -0.011349298059940338, 0.9960784316062927]","[0.00046223538811318576, -0.0020429217256605625, -0.00024124380433931947, -0.007163417525589466, -0.0014504624996334314, -6.67113417875953e-05, 0.9960784316062927]","[-0.005353294778615236, -0.0023666813503950834, -0.00985477864742279, 0.0017769018886610866, 0.039411284029483795, 0.0015450867358595133, 0.9960784316062927]","[0.0013569323346018791, -0.0023666813503950834, -0.001280544907785952, -0.018658112734556198, 0.013286560773849487, -0.0016785094048827887, 0.9960784316062927]",0.013357983902096748,0.045929040759801865,0.017174964770674706,0.768979012966156,-0.0563482791185379,0.67991042137146
9,final,traj009_final.jpg,fold the cloth from right to left,"[0.00023856115876697004, -0.00042412252514623106, -0.0025796713307499886, 0.0017769018886610866, 0.0012289963196963072, -0.0016785094048827887, 0.9960784316062927]","[0.00023856115876697004, -0.00042412252514623106, -0.0025796713307499886, -0.00013888080138713121, 0.0012289963196963072, -0.0016785094048827887, 0.9960784316062927]","[0.004264697432518005, -0.009165638126432896, -0.001800195430405438, -0.020573895424604416, -0.014177892357110977, -0.12417516112327576, 0.9960784316062927]","[0.015224735252559185, 0.028714261949062347, 0.002097183605656028, 0.0349838025867939, -0.0925520658493042, -0.07259762287139893, 0.9960784316062927]",0.0019157826900482178,0.12583954632282257,0.12658044695854187,0.8632198572158813,0.3403506577014923,0.11697912961244583
10,final,traj010_final.jpg,move the knife inside the right orange pot,"[-0.0035639009438455105, 0.009936192072927952, -0.00855565257370472, 0.03370661288499832, -0.004799786023795605, -0.017796490341424942, 0.9960784316062927]","[-0.0035639009438455105, 0.009936192072927952, -0.00024124380433931947, 0.007524250075221062, -0.0007805978530086577, -0.017796490341424942, 0.9960784316062927]","[-0.0035639009438455105, 0.0015184363583102822, 0.00027840674738399684, -0.005247634835541248, 0.0159660205245018, 0.00638048117980361, 0.9960784316062927]","[0.010751250199973583, -0.0007478823536075652, -0.005697574466466904, 0.01710316352546215, -0.018866945058107376, -6.67113417875953e-05, 0.9960784316062927]",0.02776327356696129,0.05178877338767052,0.03339380398392677,0.7658344507217407,-0.4558810889720917,0.5834404826164246
11,final,traj011_final.jpg,pick up the box cutter and put it into the drawer,"[0.0015806065639480948, 0.0011946766171604395, -0.006477050483226776, -0.018658112734556198, -0.0925520658493042, -0.09516279399394989, 0.9960784316062927]","[1.4886919416312594e-05, 0.03518945723772049, -0.0028394965920597315, 0.08160118013620377, -0.018197080120444298, -0.16124652326107025, 0.0]","[0.01768515259027481, 0.0364844985306263, -0.016350410878658295, 0.0707450807094574, -0.05369991064071655, -0.024243682622909546, 0.0]","[-0.004234923515468836, -0.03377138450741768, -0.017649536952376366, 0.02604348212480545, -0.009488838724792004, 0.00638048117980361, 0.0]",0.14532369375228882,0.12702028453350067,0.14349229633808136,0.6267949938774109,0.4484390914440155,-0.023037903010845184
12,final,traj012_final.jpg,pick up the paper,"[0.0024753035977482796, 0.024829143658280373, -0.019987965002655983, 0.08160118013620377, -0.05035058781504631, 0.13693612813949585, 0.9960784316062927]","[0.01701412908732891, 0.024829143658280373, -0.023105867207050323, 0.08160118013620377, 0.034722231328487396, 0.10631196200847626, 0.9960784316062927]","[-0.02861541509628296, 0.04069337621331215, 0.009372291155159473, 0.03434520587325096, -0.03025464527308941, -0.09193920344114304, 0.9960784316062927]","[-0.007590037304908037, 0.01738266833126545, 0.005734737496823072, 0.06627491861581802, -0.07044652849435806, -0.15479932725429535, 0.9960784316062927]",0.0916314497590065,0.23895862698554993,0.29422226548194885,0.8427027463912964,-0.3854522407054901,-0.3822273313999176
13,final,traj013_final.jpg,put the toy pizza in the drawer,"[-0.015865983441472054, -0.0036617207806557417, -0.007516351528465748, -0.005886228755116463, 0.07759357243776321, -0.08388020843267441, 0.9960784316062927]","[0.0018042807932943106, -0.010784436948597431, -0.004138622898608446, -0.00013888080138713121, 0.007257778663188219, -0.05970323830842972, 0.9960784316062927]","[-0.004011249635368586, -0.003985480405390263, -0.0036189723759889603, -0.0806017518043518, 0.017975613474845886, 0.07729959487915039, 0.9960784316062927]","[1.4886919416312594e-05, -0.0007478823536075652, -0.011153905652463436, -0.037177346646785736, 0.02467426098883152, 0.024110259488224983, 0.9960784316062927]",0.07706531137228012,0.18780700862407684,0.12536129355430603,0.7911540865898132,-0.3436034321784973,0.03281296789646149
14,final,traj014_final.jpg,move the yellow cloth slightly backward to the edge of the table and to the left of the pot,"[1.4886919416312594e-05, -0.00010036268940893933, 0.0005382320377975702, -0.00013888080138713121, -0.0014504624996334314, -6.67113417875953e-05, 0.9960784316062927]","[1.4886919416312594e-05, -0.00010036268940893933, 1.8581469703349285e-05, -0.00013888080138713121, -0.00011073314090026543, -6.67113417875953e-05, 0.9960784316062927]","[1.4886919416312594e-05, -0.00010036268940893933, 0.0005382320377975702, -0.00013888080138713121, -0.0014504624996334314, -6.67113417875953e-05, 0.9960784316062927]","[1.4886919416312594e-05, 0.00022339713177643716, 1.8581469703349285e-05, 0.0017769018886610866, -0.00011073314090026543, -0.0016785094048827887, 0.9960784316062927]",0.0014369800919666886,0.0,0.002904797438532114,0.6081966757774353,1.0,0.0035561707336455584
15,final,traj015_final.jpg,place the drumstick on the back right corner of the table,"[-0.0035639009438455105, -0.00042412252514623106, 0.005734737496823072, 0.0043312786146998405, -0.01551762130111456, 0.011215874925255775, 0.9960784316062927]","[-0.0019981812220066786, -0.00042412252514623106, -0.00855565257370472, -0.01291076559573412, 0.012616695836186409, -0.09516279399394989, 0.9960784316062927]","[-0.0019981812220066786, -0.00042412252514623106, -0.00855565257370472, -0.01291076559573412, 0.028023583814501762, 0.0015450867358595133, 0.9960784316062927]","[-0.0035639009438455105, -0.0013954020105302334, -0.010894079692661762, -0.015465142205357552, 0.031372908502817154, -0.004902105778455734, 0.9960784316062927]",0.11230278760194778,0.04993310943245888,0.05592736601829529,-0.6738560199737549,-0.7724963426589966,-0.8528037071228027
16,final,traj016_final.jpg,turn the lever from vertical to the front,"[0.009185531176626682, -0.0020429217256605625, 0.008332990109920502, -0.0014160692226141691, -0.02958478033542633, -0.021020086482167244, 0.9960784316062927]","[-0.008037385530769825, 0.002489715814590454, 0.008073165081441402, 0.04392411932349205, 0.04209074378013611, 0.01766306720674038, 0.9960784316062927]","[0.009185531176626682, -0.007223078515380621, 0.006514213513582945, -0.04228610172867775, -0.0784849002957344, 0.024110259488224983, 0.9960784316062927]","[0.0009095838759094477, -0.0023666813503950834, -0.00985477864742279, -0.00013888080138713121, -0.00011073314090026543, -0.02263188362121582, 0.9960784316062927]",0.0949038490653038,0.07828455418348312,0.03566987067461014,-0.6828241348266602,0.565580427646637,0.43017980456352234
17,final,traj017_final.jpg,put the cover of the silver pot on the bottom right side of the table,"[0.00046223538811318576, -0.00010036268940893933, 0.00027840674738399684, -0.00013888080138713121, -0.0014504624996334314, -6.67113417875953e-05, 0.9960784316062927]","[-0.010721476748585701, 0.016735147684812546, -0.004658273421227932, -0.04037031903862953, 0.00792764313519001, 0.08374679088592529, 0.9960784316062927]","[0.0015806065639480948, 0.007993632927536964, -0.00024124380433931947, 0.004969872999936342, 0.0025687257293611765, 0.027333855628967285, 0.9960784316062927]","[-0.0019981812220066786, 0.0005471569602377713, -0.006996701005846262, -0.00013888080138713121, 0.023334531113505363, -6.67113417875953e-05, 0.9960784316062927]",0.09572931379079819,0.029327083379030228,0.025955654680728912,-0.13040392100811005,-0.1408023089170456,-0.9644409418106079
18,final,traj018_final.jpg,sweep into a pile,"[0.002027955139055848, 0.006051073782145977, 0.019245652481913567, 0.05031006410717964, -0.020206674933433533, -0.02263188362121582, 0.9960784316062927]","[0.002027955139055848, 0.006051073782145977, 0.01197054423391819, 0.05031006410717964, 0.02467426098883152, -0.02263188362121582, 0.9960784316062927]","[-0.0017745069926604629, -0.0017191617516800761, 0.016647398471832275, 0.03370661288499832, -0.023555997759103775, -0.016184691339731216, 0.9960784316062927]","[0.010974925011396408, 0.005403554067015648, -0.005177923943847418, 0.01774175837635994, 0.0025687257293611765, 0.07246420532464981, 0.9960784316062927]",0.04546675086021423,0.020249569788575172,0.10629985481500626,0.7314946055412292,0.9678202271461487,-0.17910650372505188
19,final,traj019_final.jpg,put the green object into the drawer,"[-0.006919014733284712, -0.0017191617516800761, 0.001317707821726799, 0.0017769018886610866, 0.056157901883125305, 0.03378104791045189, 0.9960784316062927]","[-0.006919014733284712, -0.0017191617516800761, 0.001317707821726799, 0.0017769018886610866, 0.011276966892182827, -0.017796490341424942, 0.9960784316062927]","[-0.004682272206991911, -0.011108196340501308, -0.007776177022606134, 0.06308194994926453, 0.07759357243776321, -0.19670607149600983, 0.9960784316062927]","[0.003817348973825574, -0.016288353130221367, -0.006996701005846262, -0.02568265050649643, 0.010607101954519749, 0.07891139388084412, 0.9960784316062927]",0.06837061047554016,0.23982903361320496,0.07254178822040558,0.059572819620370865,-0.14631591737270355,0.5681784152984619
20,final,traj020_final.jpg,pick up the pan from the stove,"[0.005830417387187481, 0.0011946766171604395, 0.018985826522111893, 0.023489106446504593, -0.036283425986766815, -0.008125701919198036, 0.0]","[0.005830417387187481, -0.016288353130221367, 0.009112466126680374, 0.020296134054660797, 0.008597508072853088, -0.021020086482167244, 0.0]","[-0.0017745069926604629, -0.0010716421529650688, 0.008332990109920502, -0.04228610172867775, 0.060846954584121704, 0.007992278784513474, 0.0]","[-0.00244552968069911, 0.0044322749599814415, -0.019468314945697784, -0.04100891202688217, 0.052138712257146835, 0.00638048117980361, 0.0]",0.05093032494187355,0.11915087699890137,0.1172458603978157,0.2994212508201599,-0.8613800406455994,-0.9777678847312927
