trajectory_id,group,run_family,run_stamp,traj_group,traj_name,image_file,lang_original,normal_action,paraphrased_action,contradictory_action,neutral_action
001,initial,2023-01-09_pnp_rigid_objects,2023-01-10_16-11-27,traj_group0,traj38,traj001_initial.jpg,pick up the rigid object,"[-0.0019981812220066786, 0.007022353354841471, 0.0023570088669657707, -0.029514215886592865, 0.051468849182128906, -0.16930550336837769, 0.0]","[-0.0019981812220066786, 0.004108515102416277, 0.0023570088669657707, -0.013549359515309334, 0.014626290649175644, -0.07259762287139893, 0.0]","[-0.0019981812220066786, 0.007346113212406635, 0.0023570088669657707, 0.030513642355799675, -0.027575185522437096, 0.04989903047680855, 0.0]","[-0.002221855567768216, -0.00010036268940893933, -0.011413730680942535, -0.004609040450304747, -0.01551762130111456, -0.0032903074752539396, 0.0]"
001,final,2023-01-09_pnp_rigid_objects,2023-01-10_16-11-27,traj_group0,traj38,traj001_final.jpg,pick up the rigid object,"[0.005159394349902868, -0.00592803955078125, -0.0005010690656490624, -0.030791403725743294, -0.008149109780788422, 0.0015450867358595133, 0.0]","[-0.004458597861230373, -0.00010036268940893933, 0.0007980572991073132, 0.005608467385172844, 0.0025687257293611765, 0.02572205848991871, 0.0]","[-0.0013271585339680314, -0.0007478823536075652, -0.001280544907785952, -0.006524823140352964, 0.0012289963196963072, 0.009604076854884624, 0.0]","[0.00023856115876697004, -0.0056042796932160854, -0.0020600208081305027, -0.009079200215637684, -0.0014504624996334314, 0.00638048117980361, 0.0]"
002,initial,pnp_utensils_11-18,2022-11-18_20-05-03,traj_group0,traj36,traj002_initial.jpg,pick up the utensil,"[-0.005353294778615236, 0.002489715814590454, -0.0030993218533694744, -0.002693257760256529, 0.034722231328487396, -0.03874986618757248, 0.9960784316062927]","[-0.005353294778615236, -0.0062517994083464146, -0.005177923943847418, -0.028237026184797287, -0.020206674933433533, -0.06776223331689835, 0.9960784316062927]","[-0.019668446853756905, 0.011554990895092487, 0.004175785928964615, 0.011994409374892712, 0.027353720739483833, 0.1030883640050888, 0.9960784316062927]","[0.00023856115876697004, 0.003460995387285948, -0.0062172249890863895, 0.022211916744709015, -0.004129921551793814, 0.007992278784513474, 0.9960784316062927]"
002,final,pnp_utensils_11-18,2022-11-18_20-05-03,traj_group0,traj36,traj002_final.jpg,pick up the utensil,"[0.0015806065639480948, 0.003460995387285948, 0.025221632793545723, 0.01774175837635994, -0.01752721518278122, 0.07729959487915039, 0.0]","[1.4886919416312594e-05, -0.0013954020105302334, 0.0023570088669657707, 0.014548786915838718, 0.05012911930680275, 0.17400747537612915, 0.0]","[0.0009095838759094477, 0.008317392319440842, 0.004435610957443714, 0.00944003276526928, 0.00993723701685667, 0.01766306720674038, 0.0]","[-0.0004324615583755076, 0.005079794209450483, 0.010671418160200119, -0.005247634835541248, -0.013508027419447899, 0.004768683109432459, 0.0]"
003,initial,pnp_utensils_12-07_rigid_objects,2022-12-08_14-21-43,traj_group0,traj10,traj003_initial.jpg,pick up the utensil,"[-0.0004324615583755076, -0.00042412252514623106, -0.008815477602183819, -0.05825095623731613, 0.006587913725525141, -0.048420652747154236, 0.9960784316062927]","[-0.0004324615583755076, -0.00042412252514623106, -0.011153905652463436, -0.028875621035695076, 0.030703043565154076, -0.04680885374546051, 0.0]","[-0.006247991696000099, -0.002690441207960248, -0.0028394965920597315, -0.019935302436351776, 0.021994803100824356, -0.011349298059940338, 0.0]","[0.0015806065639480948, -0.0017191617516800761, -0.0025796713307499886, -0.01801951974630356, -0.01484775636345148, 0.016051270067691803, 0.0]"
003,final,pnp_utensils_12-07_rigid_objects,2022-12-08_14-21-43,traj_group0,traj10,traj003_final.jpg,pick up the utensil,"[-0.023918256163597107, -0.00592803955078125, 0.007813340052962303, -0.004609040450304747, -0.019536809995770454, -0.01940828748047352, 0.9960784316062927]","[-0.023918256163597107, -0.010784436948597431, 0.005994562990963459, -0.0007774750120006502, -0.004799786023795605, -0.01940828748047352, 0.9960784316062927]","[-0.02861541509628296, 0.011554990895092487, 0.003396310145035386, 0.05541881546378136, 0.0025687257293611765, 0.20301984250545502, 0.9960784316062927]","[-0.019221097230911255, -0.0017191617516800761, -0.0010207196464762092, -0.014826548285782337, -0.002120327204465866, 0.0015450867358595133, 0.9960784316062927]"
004,initial,2023-05-25_bin_pnp,2023-05-26_11-58-22,traj_group0,traj121,traj004_initial.jpg,pick up the object and place it in the bin,"[-0.0049059465527534485, 0.0005471569602377713, -0.018688838928937912, 0.005608467385172844, 0.04945925623178482, -0.0016785094048827887, 0.9960784316062927]","[-0.004458597861230373, 0.0005471569602377713, -0.013752157799899578, 0.0017769018886610866, 0.03673182427883148, -0.012961096130311489, 0.9960784316062927]","[-0.0049059465527534485, 0.0005471569602377713, -0.018688838928937912, 0.005608467385172844, 0.051468849182128906, 0.0015450867358595133, 0.9960784316062927]","[-0.007813711650669575, 0.0018421962158754468, -0.022066567093133926, 0.00944003276526928, 0.06754560023546219, 0.0031568848062306643, 0.9960784316062927]"
004,final,2023-05-25_bin_pnp,2023-05-26_11-58-22,traj_group0,traj121,traj004_final.jpg,pick up the object and place it in the bin,"[-0.02861541509628296, 0.0008709167595952749, 0.01690722443163395, 0.0004997134092263877, -0.0925520658493042, 0.08697038143873215, 0.9960784316062927]","[-0.02861541509628296, 0.0008709167595952749, 0.003396310145035386, -0.046117667108774185, -0.0925520658493042, -0.20637686550617218, 0.9960784316062927]","[-0.02861541509628296, 0.0008709167595952749, -0.006736875511705875, 0.0043312786146998405, 0.01663588546216488, -0.140293151140213, 0.9960784316062927]","[-0.0011034843046218157, -0.017907151952385902, 0.004175785928964615, -0.009717794135212898, -0.01082856860011816, 0.043451838195323944, 0.9960784316062927]"
005,initial,2022-12-09_pnp_soft_toys,2022-12-09_15-54-53,traj_group0,traj14,traj005_initial.jpg,pick up the soft toy,"[-0.0013271585339680314, -0.0017191617516800761, -0.0028394965920597315, 0.015825975686311722, -0.002120327204465866, -0.009737499989569187, 0.9960784316062927]","[-0.0013271585339680314, -0.0013954020105302334, -0.0028394965920597315, 0.01774175837635994, -0.010158703662455082, 0.0015450867358595133, 0.9960784316062927]","[-0.0011034843046218157, -0.024058589711785316, -0.001280544907785952, -0.018658112734556198, 0.00591804925352335, -0.04358525946736336, 0.0]","[0.006054091267287731, -0.021792270243167877, -0.006996701005846262, -0.01227217074483633, -0.0014504624996334314, -0.053256046026945114, 0.0]"
005,final,2022-12-09_pnp_soft_toys,2022-12-09_15-54-53,traj_group0,traj14,traj005_final.jpg,pick up the soft toy,"[-0.007813711650669575, -0.01207947637885809, -0.007776177022606134, 0.013271598145365715, 0.0159660205245018, 0.03216924890875816, 0.9960784316062927]","[-0.007813711650669575, -0.01207947637885809, -0.01790936291217804, 0.022850511595606804, 0.07424424588680267, -0.040361661463975906, 0.9960784316062927]","[-0.0019981812220066786, 0.0005471569602377713, -0.013492332771420479, 0.0017769018886610866, 0.04008115082979202, -0.0016785094048827887, 0.9960784316062927]","[-0.00020878732902929187, 0.00022339713177643716, -0.012712856754660606, -0.002054663607850671, 0.03405236825346947, 0.0015450867358595133, 0.9960784316062927]"
